time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,distance,reward,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.62,-2.5489169483,-23.9155396199,24.605292925,3.6700100243,1.9177434143,0.0019395972,-1.1072456232,-27.1542645188,17.265704492,-48.0357482712,48.0271954812,-0.0250660476,28.1383118603,23.0215549743,51.1649983749,1499.8651525496,1500.1922239003,49.929294486
1.68,-2.6764547285,-25.5233956499,25.6528390317,0.787346397,4.7997921265,0.0005177388,-1.7980002746,-27.2404831122,17.6597811549,-48.0591447659,48.0410754678,-0.0210922762,30.0602479226,23.2884622295,49.7024703904,1500.403407631,1501.0371726701,49.7702388622
1.74,-2.7066354097,-27.1848421909,26.7423476297,4.1869809993,1.3995599263,6.2824361741,-0.292372361,-28.2348057295,18.4822836272,-48.0556570909,48.053436792,-0.0211596029,32.0413439846,22.4887257251,49.5212040213,1500.8456200307,1500.8179228861,50.0331434778
1.8,-2.8151675912,-28.8628577121,27.8404144991,1.3039132241,4.2826967417,6.2811525954,-2.367428199,-27.9285745903,18.5446422174,-48.0421516653,48.0455462781,-0.0218644299,34.0480559412,22.4889024618,49.7212537418,1500.4946012768,1500.3649276492,50.2270341764
1.86,-2.8590192255,-30.5692233701,28.9717574965,4.7043632192,0.8820443413,6.2799189118,0.0755098225,-28.8356477594,19.2082819955,-48.0456908562,48.0322148182,-0.0180761196,36.0912592034,22.2223952737,49.3072677006,1500.0276222631,1500.6015111987,50.3119511157
1.92,-2.9424757252,-32.3042740398,30.1041375203,1.8219552291,3.7638166203,6.2788653403,-2.3645546622,-28.7087983071,19.088929194,-48.0318089609,48.0229247356,-0.0165457353,38.1628173759,22.4892797023,49.7544190362,1499.7001882707,1499.9448021901,49.7670157952
1.98,-3.0090832851,-34.0625567473,31.2619600219,5.2227714865,0.3621163211,6.277992416,0.0995482557,-29.8785895698,19.9593040582,-48.0540110849,48.0286604994,-0.0108273617,40.2664040902,22.2228200095,49.7447550343,1499.9061689947,1500.8184335143,49.8552264089
2.04,-3.060238313,-35.858171434,32.4405065874,2.33980612,3.2440487887,6.2773805488,-2.311277706,-29.4398124053,19.7637903087,-48.0492243014,48.0399966736,-0.0089662106,42.4116711887,22.4897223972,49.2768246296,1500.3277451427,1500.5629141578,51.1920997968
2.1,-3.1487089973,-37.6469925456,33.6298935849,5.7397001441,6.1272780798,6.2768468982,0.1465996819,-30.2844682402,20.3064137415,-48.068860284,48.0695865092,-0.0087481383,44.5598730576,22.2231698719,49.2772819839,1501.3893261286,1501.3598832666,51.236618939
2.16,-3.1755381079,-39.4837654856,34.8358729105,2.8555296662,2.7281335989,6.2763581982,-1.9527640534,-30.3466604991,19.6390596746,-48.0748904152,48.0683393191,-0.0069645094,46.7533139191,22.4899046176,50.0271472079,1501.1656831482,1501.4366642398,50.4707803775
2.22,-3.2784668129,-41.3151217472,36.0404736354,6.2549436779,5.6116326493,6.2759836299,-0.4083950741,-30.9583642355,20.3279234241,-48.0543281622,48.0433505879,-0.0048377286,48.9468476695,22.2233145469,50.849853505,1500.2694713943,1500.6268400946,50.3420331063
2.28,-3.2873895113,-43.1966165449,37.2833812178,3.3718424012,2.2116146821,6.2756289414,-1.1709037869,-31.5040281136,20.1803394822,-48.0503119612,48.0618479682,-0.0081504251,51.1970458269,22.4900540554,50.1350802303,1501.1601977871,1500.6344070506,49.9899470553
2.34,-3.3966629689,-45.0560012931,38.5139436042,0.4899109439,5.0952386231,6.2749714457,-1.0431100778,-31.2591203902,20.5520024296,-48.0191835763,48.0589317675,-0.0172661534,53.4286959574,22.4899768332,50.3275069478,1500.9167465818,1499.4653844987,50.0484502005
2.4,-3.4015403309,-46.9596068433,39.7725349151,3.8918641576,1.6956943968,6.2737878627,-0.4022873001,-32.2429744134,20.8609745117,-48.0212733289,48.0611187169,-0.0251670945,55.7061844572,22.2231468937,50.9269739602,1501.1011282865,1499.8467256453,50.5883743521
2.46,-3.4994631564,-48.8614373797,41.0155030739,1.0102439139,4.5799046772,6.2721282921,-1.7647465191,-31.6887382987,20.8501121132,-48.0310091955,48.0746244899,-0.0331816728,57.979718317,22.4896821355,49.4434040935,1501.5850919508,1500.2496919659,51.0249698024
2.52,-3.5158645237,-50.7932972217,42.2973833561,4.4113052771,1.1818858208,6.2699406769,0.2984052571,-32.4378637368,21.5722903943,-48.0350938174,48.089607839,-0.0439915369,60.2946209678,22.4895742745,50.5661354813,1502.1465747002,1500.3917845531,51.2720856599
2.58,-3.5945835477,-52.721315469,43.5668024223,1.5288605483,4.067622245,6.2671283399,-2.0766982138,-31.7364871883,21.1210342779,-48.0429134233,48.0952322395,-0.0533677625,62.6034213164,22.4894902964,49.7885050537,1502.2034485352,1500.6442850935,51.5141872465
2.64,-3.6278463231,-54.6604844267,44.8515995381,4.9296302713,0.6701847962,6.2637240441,0.3320974343,-32.8499439381,21.7504984281,-48.0332390333,48.0916479926,-0.0645149012,64.9273734035,22.2228163577,49.8587144953,1501.9548045857,1500.1286784082,51.0568453643
2.7,-3.679390037,-56.62739488,46.1338202511,2.0479232974,3.5553000182,6.2596690075,-1.9694818328,-32.3195779622,21.5514805854,-48.0253268347,48.0774568991,-0.0745626076,67.2744582132,22.4895292987,51.2412437102,1501.3946478388,1499.7983332477,50.7793011638
2.76,-3.7388608354,-58.5868960723,47.4345740954,5.4494250295,0.1560466029,6.2551835671,0.41018517,-33.2203293192,22.4028430017,-48.0373329497,48.0469513914,-0.0751498263,69.6257912662,22.489720668,51.4833165075,1500.322874582,1500.2765478807,49.9463393418
2.82,-3.7625116416,-60.57233762,48.7464816265,2.5670510322,3.0384581988,6.2507448845,-1.9841592811,-32.4375066352,21.6210009316,-48.0499064438,48.0353439279,-0.0717332607,72.0031556047,22.4902102001,51.3235445184,1500.1138480168,1500.6995994274,50.0633176163
2.88,-3.8416469291,-62.5324604987,50.0467773214,5.9680873304,5.9214433191,6.2462651382,0.2334617348,-33.1694567664,22.0683279805,-48.0287781793,48.0661663095,-0.0812803816,74.3559764981,22.2240815178,50.8303729776,1501.3554905942,1499.8200090117,50.9172994937
2.94,-3.8464897929,-64.5444471203,51.3679924147,3.0865488703,2.5224059673,6.2412015057,-1.3878157772,-33.3307167144,21.3967191314,-48.0260317973,48.0757526935,-0.0914873669,76.7599630941,22.4910902549,50.0527638498,1501.5412343584,1499.9023274959,50.0552734853
3,-3.9400656367,-66.5265958562,52.6804319556,0.2048291604,5.4065942098,6.2356311458,-0.4836616979,-33.2960196331,22.0605408121,-48.0341929671,48.0612509442,-0.0956884802,79.1386842533,22.491435209,50.4139060023,1500.9216501356,1500.2420301462,50.4703545221
3.06,-3.9330450737,-68.5448051884,54.0262774848,3.6061618844,2.006642191,6.2298524349,-0.6819750175,-33.862082125,21.9245616372,-48.0295227732,48.0425850571,-0.0975883649,81.5608501122,22.4919476026,50.1573455513,1500.3191068518,1500.0105918417,50.1150867941
3.12,-4.0292013294,-70.5338053162,55.3407811916,0.7244001637,4.8892877229,6.2239324441,-1.1819051372,-33.2697941205,21.9436886768,-48.0292590758,48.0449232687,-0.1009143185,83.9466413551,22.4925733529,50.9451660612,1500.5889749868,1500.0661436849,50.4690039786
